"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Note [en]","Term [pl]","Description [pl]","Part of Speech [pl]","Status [pl]","Type [pl]","Note [pl]"
"Disease Diagnoser Delta Extreme","Disease analyzer.",NOUN,PREFERRED,FULL_FORM,,"Diagnozator chorób Delta Extreme",,,,,
"biomass reclaimer",Corpse-to-biomass.,NOUN,PREFERRED,FULL_FORM,,"maszyna do odzyskiwania biomasy",,,,,
"stasis bed","Metabolism-slowing bed. FTL has stasis łóżko.",NOUN,PREFERRED,FULL_FORM,"Prefer łóżko stazy over stasis łóżko.","łóżko stazy",,,,,
"operating table","Surgery table. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"stół operacyjny",,,,,
morgue,"Body storage.",NOUN,PREFERRED,FULL_FORM,,kostnica,,,,,
crematorium,"Body incinerator.",NOUN,PREFERRED,FULL_FORM,,krematorium,,,,,
"medical techfab","Med lathe.",NOUN,PREFERRED,FULL_FORM,,"fabrykator sprzętu medycznego",,,,,
SmartFridge,"Refrigerated storage. Often in medbay.",NOUN,PREFERRED,FULL_FORM,,"Inteligentna lodówka",,,,,
"lipid extractor","Fat extractor.",NOUN,PREFERRED,FULL_FORM,,"ekstraktor lipidów",,,,,
"body scanner computer","Linked scanner console. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"komputer skanera ciała",,,,,
protolathe,"Science lathe.",NOUN,PREFERRED,FULL_FORM,"Not prototokarka. Inflect protolatu.",protolat,,,,,
"hyper convection protolathe","Heated protolathe variant.",NOUN,PREFERRED,FULL_FORM,,"protolat z hiperkonwekcją",,,,,
"circuit imprinter","Circuit board printer.",NOUN,PREFERRED,FULL_FORM,,"drukarka płytek",,,,,
"hyper convection circuit imprinter","Heated circuit imprinter.",NOUN,PREFERRED,FULL_FORM,,"drukarka płytek z hiperkonwekcją",,,,,
techfab,"Department production lathe. Keep.",NOUN,PREFERRED,FULL_FORM,,"techfab",,,,,
"music techfab","Musician lathe.",NOUN,PREFERRED,FULL_FORM,,"techfab muzyczny",,,,,
"cargo techfab","Cargo lathe.",NOUN,PREFERRED,FULL_FORM,,"techfab logistyczny",,,,,
"nuclear fabricator","Fission parts lathe.",NOUN,PREFERRED,FULL_FORM,,"fabrykator jądrowy",,,,,
"anti-matter fabricator","AME fuel lathe.",NOUN,PREFERRED,FULL_FORM,,"fabrykator antymaterialny",,,,,
"document printer","Corvax paperwork printer.",NOUN,PREFERRED,FULL_FORM,,"drukarka dokumentów",,,,,
"exosuit fabricator","Robotics lathe.",NOUN,PREFERRED,FULL_FORM,,"fabrykator egzoszkieletów",,,,,
"biocube fabricator","Animal cube lathe.",NOUN,PREFERRED,FULL_FORM,,"fabrykator biokostek",,,,,
"R&D server","Research server.",NOUN,PREFERRED,FULL_FORM,,"serwer badawczo-rozwojowy",,,,,
"R&D computer","Research console.",NOUN,PREFERRED,FULL_FORM,"Also listed as Computer.","komputer rozwoju i badań",,,,,
"artifact analyzer","Xenoarch analyzer.",NOUN,PREFERRED,FULL_FORM,,"analizator artefaktów",,,,,
"artifact crusher","Xenoarch crusher.",NOUN,PREFERRED,FULL_FORM,,"kruszarka artefaktów",,,,,
"analysis console","Artifact analysis console.",NOUN,PREFERRED,FULL_FORM,"Also listed as Computer.","konsola analizy",,,,,
"anomaly vessel","Anomaly research vessel.",NOUN,PREFERRED,FULL_FORM,,"naczynie anomalne",,,,,
"experimental anomaly vessel","Advanced anomaly vessel.",NOUN,PREFERRED,FULL_FORM,,"eksperymentalne naczynie anomalne",,,,,
A.P.E.,"Anomalous Particle Emitter.",NOUN,PREFERRED,ACRONYM,"Polish acronym M.A.K.A.K.",M.A.K.A.K.,,,,,
"anomaly generator","Spawns anomalies.",NOUN,PREFERRED,FULL_FORM,,"generator anomalii",,,,,
"anomaly synchronizer","Anomaly-to-signal device.",NOUN,PREFERRED,FULL_FORM,,"synchronizator anomalii",,,,,
"tech disk terminal","Prints tech disks.",NOUN,PREFERRED,FULL_FORM,,"terminal dysków technologicznych",,,,,
"material silo","Bluespace material network.",NOUN,PREFERRED,FULL_FORM,,"silos materiałów",,,,,
"seed extractor","Botany; extracts seeds.",NOUN,PREFERRED,FULL_FORM,,"ekstraktor nasion",,,,,
"ore processor","Science/cargo smelter.",NOUN,PREFERRED,FULL_FORM,,"przetwornik rudy",,,,,
"industrial ore processor","Bulk smelter.",NOUN,PREFERRED,FULL_FORM,,"przemysłowy przetwornik rudy",,,,,
"sheet-meister 2000",Sheetifier.,NOUN,PREFERRED,FULL_FORM,,"arkusz-master 2000",,,,,
"cutter machine","Floor tile cutter.",NOUN,PREFERRED,FULL_FORM,,"maszyna tnąca",,,,,
"uniform printer","Clothing printer.",NOUN,PREFERRED,FULL_FORM,,"drukarka mundurów",,,,,
biogenerator,"Plants to biomass.",NOUN,PREFERRED,FULL_FORM,,biogenerator,,,,,
"security techfab","Sec lathe.",NOUN,PREFERRED,FULL_FORM,,"fabrykator sprzętu ochrony",,,,,
"ammo techfab","Ammo lathe.",NOUN,PREFERRED,FULL_FORM,,"fabrykator amunicji",,,,,
"atmospheric alerts computer","Atmos/fire alerts.",NOUN,PREFERRED,FULL_FORM,,"komputer alarmów atmosferycznych",,,,,
"atmospheric network monitor","Pipe net monitor.",NOUN,PREFERRED,FULL_FORM,,"monitor sieci atmosferycznej",,,,,
"emergency shuttle console","Early-launch auth.",NOUN,PREFERRED,FULL_FORM,,"konsola wahadłowca ewakuacyjnego",,,,,
"shuttle console","Generic shuttle helm. One EN FTL entry still untranslated.",NOUN,PREFERRED,FULL_FORM,,"konsola wahadłowca",,,,,
"syndicate shuttle console","Nukeop shuttle helm.",NOUN,PREFERRED,FULL_FORM,,"konsola wahadłowca syndykatu",,,,,
"cargo shuttle console","Cargo shuttle helm.",NOUN,PREFERRED,FULL_FORM,,"konsola wahadłowca logistycznego",,,,,
"salvage shuttle console","Salvage shuttle helm.",NOUN,PREFERRED,FULL_FORM,,"konsola wahadłowca odzysku",,,,,
"IFF computer","Identify Friend/Foe.",NOUN,PREFERRED,FULL_FORM,,"konsola systemu rozpoznawania",,,,,
"power monitoring computer","Station power map.",NOUN,PREFERRED,FULL_FORM,,"komputer monitorujący zasilanie",,,,,
"medical records computer","Med records.",NOUN,PREFERRED,FULL_FORM,,"komputer do rejestrów medycznych",,,,,
"criminal records computer","Sec records.",NOUN,PREFERRED,FULL_FORM,,"komputer do rejestrów kryminalnych",,,,,
"station records computer","General records.",NOUN,PREFERRED,FULL_FORM,,"komputer do rejestrów stacji",,,,,
"crew monitoring console","Suit sensors.",NOUN,PREFERRED,FULL_FORM,,"konsola monitorowania załogi",,,,,
"crew monitoring server","Relays suit sensors.",NOUN,PREFERRED,FULL_FORM,,"serwer monitorowania załogi",,,,,
"ID card computer","HoP ID console.",NOUN,PREFERRED,FULL_FORM,,"komputer kart identyfikacyjnych",,,,,
"communications computer","Announcements and alerts.",NOUN,PREFERRED,FULL_FORM,,"komputer komunikacyjny",,,,,
"syndicate communications computer","Hostile comms.",NOUN,PREFERRED,FULL_FORM,,"komputer komunikacyjny syndykatu",,,,,
"wizard communications computer","Wizard comms.",NOUN,PREFERRED,FULL_FORM,,"komputer komunikacyjny czarodzieja",,,,,
"central command communications computer","CentComm comms.",NOUN,PREFERRED,FULL_FORM,,"komputer komunikacyjny centralnego dowództwa",,,,,
"science communications computer","Department comms.",NOUN,PREFERRED,FULL_FORM,,"konsola komunikacyjna nauki",,,,,
"security communications computer","Department comms.",NOUN,PREFERRED,FULL_FORM,,"konsola komunikacyjna ochrony",,,,,
"service communications computer","Department comms.",NOUN,PREFERRED,FULL_FORM,,"konsola komunikacyjna serwisu",,,,,
"cargo communications computer","Department comms.",NOUN,PREFERRED,FULL_FORM,,"konsola komunikacyjna zaopatrzenia",,,,,
"engineering communications computer","Department comms.",NOUN,PREFERRED,FULL_FORM,,"konsola komunikacyjna inżynierii",,,,,
"medical communications computer","Department comms.",NOUN,PREFERRED,FULL_FORM,,"konsola komunikacyjna medycyny",,,,,
"solar control computer","Solar array control.",NOUN,PREFERRED,FULL_FORM,,"komputer do kontroli paneli słonecznych",,,,,
"mass scanner computer","Radar / mass scanner.",NOUN,PREFERRED,FULL_FORM,,"komputer skanera masy",,,,,
"cargo request computer","Cargo orders.",NOUN,PREFERRED,FULL_FORM,,"komputer zamówień logistycznych",,,,,
"engineering request computer","Department orders.",NOUN,PREFERRED,FULL_FORM,,"komputer zamówień działu inżynieryjnego",,,,,
"medical request computer","Department orders.",NOUN,PREFERRED,FULL_FORM,,"komputer zamówień działu medycznego",,,,,
"science request computer","Department orders.",NOUN,PREFERRED,FULL_FORM,,"komputer zamówień działu badań",,,,,
"security request computer","Department orders.",NOUN,PREFERRED,FULL_FORM,,"komputer zamówień działu ochrony",,,,,
"service request computer","Department orders.",NOUN,PREFERRED,FULL_FORM,,"komputer zamówień działu obsługi",,,,,
"cargo bounty computer","Cargo bounties.",NOUN,PREFERRED,FULL_FORM,,"komputer nagród logistycznych",,,,,
"funding allocation computer","Budget split.",NOUN,PREFERRED,FULL_FORM,,"komputer do alokacji funduszy",,,,,
"salvage job board","Salvage jobs. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"tablica zleceń odzysku",,,,,
"salvage expeditions computer","Salvage missions.",NOUN,PREFERRED,FULL_FORM,,"komputer ekspedycji ratunkowej",,,,,
"camera monitor","Wired cameras.",NOUN,PREFERRED,FULL_FORM,,"monitor kamer",,,,,
"wireless camera monitor","Wireless cameras.",NOUN,PREFERRED,FULL_FORM,,"monitor kamer bezprzewodowych",,,,,
"xenoborg camera monitor","Xenoborg cams. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"monitor kamer ksenoborgów",,,,,
"cargo sale computer","Pallet sales.",NOUN,PREFERRED,FULL_FORM,,"komputer sprzedaży ładunków",,,,,
"news manager console","Station news.",NOUN,PREFERRED,FULL_FORM,,"komputer zarządzania mediami",,,,,
"sensor monitoring computer","Debug/test console.",NOUN,ADMITTED,FULL_FORM,,"komputer monitorowania sensorów",,,,,
"robotics control console","Borg control.",NOUN,PREFERRED,FULL_FORM,,"konsola do kontroli robotyki",,,,,
"xenoborgs control console","Xenoborg control. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"konsola kontroli ksenoborgów",,,,,
"AI upload console","AI law upload.",NOUN,PREFERRED,FULL_FORM,,"konsola do przesyłania SI",,,,,
"AI restoration console","Repair AI. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"konsola przywracania SI",,,,,
"syndicate delivery computer","Nukeop bluespace orders. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"komputer dostaw syndykatu",,,,,
"supermatter monitoring console","SM crystal monitor.",NOUN,PREFERRED,FULL_FORM,,"konsola monitorująca supermaterię",,,,,
"nuclear reactor monitor","Far Horizons reactor.",NOUN,PREFERRED,FULL_FORM,,"monitor reaktora jądrowego",,,,,
"gas turbine monitor","Far Horizons turbine. pl-PL FTL still English.",NOUN,PREFERRED,FULL_FORM,,"monitor turbiny gazowej",,,,,
"telecommunication server","Radio server.",NOUN,PREFERRED,FULL_FORM,,"serwer telekomunikacyjny",,,,,
holopad,"Holographic call pad. Keep loanword.",NOUN,PREFERRED,FULL_FORM,,holopad,,,,,
"long-range holopad","Cross-map holopad.",NOUN,PREFERRED,FULL_FORM,,"holopad dalekiego zasięgu",,,,,
"long range fax machine","Station fax.",NOUN,PREFERRED,FULL_FORM,,"faks dalekiego zasięgu",,,,,
arcade,"Arcade cabinet.",NOUN,PREFERRED,FULL_FORM,,"automat do gier",,,,,
"space villain arcade","Space Villain cabinet.",NOUN,PREFERRED,FULL_FORM,,"Kosmiczny Złoczyńca",,,,,
"NT block game","Tetris-like arcade.",NOUN,PREFERRED,FULL_FORM,,NTetrys,,,,,
"Central Command","NT authority above the station.",PROPN,PREFERRED,FULL_FORM,,"Centralne Dowództwo",,,,,
Nanotrasen,"Corporation that owns the station. Keep name.",PROPN,PREFERRED,FULL_FORM,"Also spelled NanoTrasen in prototypes.",Nanotrasen,,,,,
NanoTrasen,"Prototype spelling of Nanotrasen.",PROPN,ADMITTED,FULL_FORM,"Prefer Nanotrasen in running text.",NanoTrasen,,,,,
NT,"Abbreviation of Nanotrasen. Keep.",PROPN,PREFERRED,ABBREVIATION,,NT,,,,,
Syndicate,"Antagonist umbrella faction.",PROPN,PREFERRED,FULL_FORM,,Syndykat,,,,,
"The Syndicate","Full faction name.",PROPN,PREFERRED,FULL_FORM,,Syndykat,,,,,
CentComm,"Abbreviation of Central Command.",PROPN,PREFERRED,ABBREVIATION,"Beacon: Biuro CD. Prose: Centralne Dowództwo.",CD,,,,,
CentCom,"Alternate spelling of CentComm.",PROPN,PREFERRED,ABBREVIATION,,CD,,,,,
NTSRA,"CentComm / ancient EVA branch. Keep acronym.",PROPN,PREFERRED,ACRONYM,"NTSRA voidsuit / helmet.",NTSRA,,,,,
"Emergency Response Team","CentComm response unit.",NOUN,PREFERRED,FULL_FORM,"ERT = JSR.","Jednostka Szybkiego Reagowania",,,,,
ERT,"Emergency Response Team.",NOUN,PREFERRED,ACRONYM,,JSR,,,,,
JSR,"Polish acronym of ERT. Keep in Polish.",NOUN,PREFERRED,ACRONYM,,JSR,,,,,
"Wizard Federation","Wizard faction.",PROPN,PREFERRED,FULL_FORM,,"Federacja Czarodziejów",,,,,
"Space Wizards Federation","Full name in wizard objectives.",PROPN,PREFERRED,FULL_FORM,objective-issuer-swf.,"Federacja Kosmicznych Czarodziejów",,,,,
"Spider Clan","Space ninja faction.",PROPN,PREFERRED,FULL_FORM,,"Klan Pająka",,,,,
"Cybersun Industries","Syndicate corporation. Keep brand.",PROPN,PREFERRED,FULL_FORM,,"Cybersun Industries",,,,,
"CyberSun Industries","Traitor dataset spelling of Cybersun.",PROPN,ADMITTED,FULL_FORM,"Prefer Cybersun Industries.","Cybersun Industries",,,,,
"Gorlex Marauders","Syndicate military branch.",PROPN,PREFERRED,FULL_FORM,,"Maruderzy Gorlex",,,,,
"Donk Corporation","Syndicate corporation",PROPN,PREFERRED,FULL_FORM,,"Donk sp. z o.o.",,,,,
"Donk Co.","Abbreviation of Donk Corporation",PROPN,PREFERRED,ABBREVIATION,,"Donk sp. z o.o.",,,,,
"Waffle Corporation","Syndicate corporation",PROPN,PREFERRED,FULL_FORM,,"Korporacja ""Wafle""",,,,,
"Waffle Co.","Abbreviation of Waffle Corporation",PROPN,PREFERRED,ABBREVIATION,,"Korp. ""Wafle""",,,,,
"Interdyne Pharmaceutics","Syndicate/pharma corp. Keep brand.",PROPN,ADMITTED,FULL_FORM,,"Interdyne Pharmaceutics",,,,,
MI13,"Syndicate intelligence cell. Keep acronym.",PROPN,PREFERRED,ACRONYM,,MI13,,,,,
"Tiger Cooperative","Syndicate cell / Hy-lurgixon cult.",PROPN,PREFERRED,FULL_FORM,,"Współpraca Tygrysa",,,,,
S.E.L.F.,"Syndicate silicon-rights cell. Keep acronym.",PROPN,PREFERRED,ACRONYM,,S.E.L.F.,,,,,
SELF,"S.E.L.F. without dots.",PROPN,ADMITTED,ACRONYM,"Prefer S.E.L.F.",S.E.L.F.,,,,,
"Animal Rights Consortium","Syndicate cell.",PROPN,PREFERRED,FULL_FORM,,"Konsorcjum Praw Zwierząt",,,,,
ARC,"Abbreviation of Animal Rights Consortium. Keep.",PROPN,PREFERRED,ABBREVIATION,,KPZ,,,,,
"Bee Liberation Front","Syndicate cell. Goob traitor flavor.",PROPN,PREFERRED,FULL_FORM,,"Front Wyzwolenia Pszczół",,,,,
BLF,"Abbreviation of Bee Liberation Front. Keep.",PROPN,PREFERRED,ABBREVIATION,,FWP,,,,,
Xeno,"Alien NPC faction. Often kept.",PROPN,ADMITTED,FULL_FORM,"Salvage: Xenos.",Xeno,,,,,
Xenos,"Salvage faction name.",PROPN,ADMITTED,FULL_FORM,,Xenos,,,,,
Revolutionary,"Converted revolutionary.",NOUN,PREFERRED,FULL_FORM,"Same word as faction; context is the role.",Rewolucjonista,,,,,
"Blood Cult","Nar'Sie cult faction.",PROPN,PREFERRED,FULL_FORM,,"Kult Krwi",,,,,
BloodCultist,"npcFaction id for Blood Cult.",PROPN,ADMITTED,FULL_FORM,"UI: Kult Krwi / Kultysta Krwi.","Kult Krwi",,,,,
"Cult of the Geometer of Blood","Full name of Blood Cult.",PROPN,PREFERRED,FULL_FORM,dynamic.ftl.,"Kult Geometry Krwi",,,,,
"Nar'Sie","Blood Cult deity. Keep name.",PROPN,PREFERRED,FULL_FORM,Geometer of Blood,Nar'Sie,,,,,
"Geometer of Blood","Title of Nar'Sie.",NOUN,PREFERRED,FULL_FORM,,"Geometra Krwi",,,,,
"Cosmic Cult","Delta-V / Polonium cult faction.",PROPN,PREFERRED,FULL_FORM,,"Kult Kosmiczny",,,,,
Pirates,"Pirate antagonist faction.",NOUN,PREFERRED,FULL_FORM,"Role Pirate = Pirat.",Piraci,,,,,
"Scarborough Arms","Syndicate arms brand on C-20r poster. Keep.",PROPN,PREFERRED,FULL_FORM,,"Scarborough Arms",,,,,
"Donut Corp.","Poster rival brand. Keep.",PROPN,PREFERRED,FULL_FORM,,"Donut Corp.",,,,,
Carps,"Salvage expedition faction (salvage-faction-carps).",PROPN,PREFERRED,FULL_FORM,,Karpie,,,,,
Dragon,"NPC faction id for space dragons.",NOUN,PREFERRED,FULL_FORM,"Role Space Dragon = Smok kosmiczny.",Smok,,,,,
Dino,"Impstation NPC faction. Keep.",NOUN,ADMITTED,FULL_FORM,,Dino,,,,,
Revolution,"Revolutionary movement.",NOUN,PREFERRED,FULL_FORM,preset-revolutionary.,Rewolucja,,,,,
Revolutionaries,"Gamemode title (rev-title).",NOUN,PREFERRED,FULL_FORM,,Rewolucjoniści,,,,,
"The Hivemind","Changeling objective issuer.",PROPN,PREFERRED,FULL_FORM,objective-issuer-changeling.,Umysł-Kolektywny,,,,,
Hivemind,"Hivemind without The.",PROPN,ADMITTED,FULL_FORM,"Prefer The Hivemind.",Umysł-Kolektywny,,,,,
"The Mansus","Heretic objective issuer. Keep Mansus.",PROPN,PREFERRED,FULL_FORM,objective-issuer-heretic.,Mansus,,,,,
Mansus,"Heretic dimension / brand. Keep.",PROPN,PREFERRED,FULL_FORM,,Mansus,,,,,
"The Unknown","Cosmic Cult objective issuer.",PROPN,PREFERRED,FULL_FORM,objective-issuer-cosmiccult.,Nieznajomy,,,,,
"Clockwork Cult","Ratvar cult. Lore / bible.",PROPN,PREFERRED,FULL_FORM,,"Kult Zegarowy",,,,,
Ratvar,"Clockwork Cult deity. Keep name.",PROPN,PREFERRED,FULL_FORM,,Ratvar,,,,,
"Clockwork Justiciar","Title of Ratvar.",NOUN,PREFERRED,FULL_FORM,,"Zegarowy Justycjariusz",,,,,
"Clockwork Justice","Title of Ratvar in PL bible.",NOUN,ADMITTED,FULL_FORM,,"Zegar Sprawiedliwości",,,,,
Hy-lurgixon,"Tiger Cooperative deity. Keep.",PROPN,PREFERRED,FULL_FORM,,Hy-lurgixon,,,,,
"Robust Industries","Vending brand. Keep.",PROPN,PREFERRED,FULL_FORM,,"Robust Industries",,,,,
"Robust Industries, LLC","Vending legal form.",PROPN,ADMITTED,FULL_FORM,,"Robust Industries sp. z o.o.",,,,,
"Getmore Chocolate Corporation","Snack vending corp.",PROPN,PREFERRED,FULL_FORM,,"Czekolady Getmore sp. z o.o.",,,,,
"Getmore Chocolate Corp","Short vending name.",PROPN,ADMITTED,FULL_FORM,,"Czekolady Getmore sp. z o.o.",,,,,
"Andromeda Corporation","Liqueur brand corp.",PROPN,PREFERRED,FULL_FORM,,"Korporacja Andromeda",,,,,
"Hephaestus Industries","Mech bounty corp. Keep brand.",PROPN,PREFERRED,FULL_FORM,,"Hephaestus Industries",,,,,
"Hesphiastos Industries","IPC limb brand. Bay spelling.",PROPN,ADMITTED,FULL_FORM,"Prefer Hephaestus in lore.","Hesphiastos Industries",,,,,
"Nanotrasen Navy Corps","NTNC ghost role.",PROPN,PREFERRED,FULL_FORM,,"Korpus Marynarki Nanotrasen",,,,,
NTNC,"Abbreviation of Nanotrasen Navy Corps. Keep.",PROPN,PREFERRED,ACRONYM,,NTNC,,,,,
Żabka,"Polonium food corp / barsign.",PROPN,PREFERRED,FULL_FORM,"Żabka Cafe.",Żabka,,,,,
Zabka,"ASCII spelling of Żabka.",PROPN,ADMITTED,FULL_FORM,prototype id.,Żabka,,,,,
"Bishop Cybernetics","IPC limb brand. Keep.",PROPN,PREFERRED,FULL_FORM,,"Bishop Cybernetics",,,,,
Ward-Takahashi,"IPC limb brand. Keep.",PROPN,PREFERRED,FULL_FORM,,Ward-Takahashi,,,,,
"Xion Manufacturing Group","IPC limb brand. Keep.",PROPN,PREFERRED,FULL_FORM,,"Xion Manufacturing Group",,,,,
"Shellguard Munitions","IPC limb brand. Keep.",PROPN,PREFERRED,FULL_FORM,,"Shellguard Munitions",,,,,
"Morpheus Cyberkinetics","IPC limb brand. Keep.",PROPN,PREFERRED,FULL_FORM,,"Morpheus Cyberkinetics",,,,,
"Zenghu Pharmaceuticals","IPC limb brand. Keep.",PROPN,PREFERRED,FULL_FORM,,"Zenghu Pharmaceuticals",,,,,
Xenoborg,"Xenoborg unit.",NOUN,PREFERRED,FULL_FORM,,Ksenoborg,,,,,
Traitor,"Syndicate agent. EN UI says Traitor; PL prefers Agent Syndykatu.",NOUN,PREFERRED,FULL_FORM,roles-antag-syndicate-agent-name.,"Agent Syndykatu",,,,,
"Syndicate Agent","Same as Traitor.",NOUN,PREFERRED,FULL_FORM,,"Agent Syndykatu",,,,,
"Syndicate sleeper agent","Mid-round traitor.",NOUN,PREFERRED,FULL_FORM,,"Uśpiony agent Syndykatu",,,,,
"Nuclear operative","Nuke op.",NOUN,PREFERRED,FULL_FORM,,"Operator nuklearny",,,,,
"Nuclear operative commander","Nuke op leader.",NOUN,PREFERRED,FULL_FORM,,"Dowódca operatorów nuklearnych",,,,,
"Nuclear operative agent","Nuke op medic.",NOUN,PREFERRED,FULL_FORM,,"Sanitariusz operatorów nuklearnych",,,,,
"Head Revolutionary","Rev leader.",NOUN,PREFERRED,FULL_FORM,,"Główny Rewolucjonista",,,,,
Wizard,"Wizard Federation antag.",NOUN,PREFERRED,FULL_FORM,,Czarodziej,,,,,
Survivor,"Wizard gamemode crew role.",NOUN,PREFERRED,FULL_FORM,,Ocalały,,,,,
Changeling,"Often left untranslated.",NOUN,ADMITTED,FULL_FORM,"pl-PL FTL still Changeling. Do not invent Zmiennokształtny unless we decide to.",Changeling,,,,,
Heretic,"Goob heretic antag.",NOUN,PREFERRED,FULL_FORM,,Heretyk,,,,,
"Blood Cultist","Nar'Sie cultist.",NOUN,PREFERRED,FULL_FORM,,"Kultysta Krwi",,,,,
"Cosmic Cultist","Cosmic cult antag.",NOUN,PREFERRED,FULL_FORM,,"Kultysta Kosmiczny",,,,,
Blob,"Usually kept untranslated.",NOUN,ADMITTED,FULL_FORM,,Blob,,,,,
"Space Ninja","Spider Clan antag.",NOUN,PREFERRED,FULL_FORM,,"Kosmiczny Ninja",,,,,
Ninja,"Short form; job-name-ninja.",NOUN,PREFERRED,FULL_FORM,"Same as Space Ninja in running text.",Ninja,,,,,
Thief,"Low-impact antag.",NOUN,PREFERRED,FULL_FORM,,Złodziej,,,,,
"Space Dragon","Carp dragon antag.",NOUN,PREFERRED,FULL_FORM,,"Smok kosmiczny",,,,,
Pirate,"Pirate antag.",NOUN,PREFERRED,FULL_FORM,,Pirat,,,,,
Zombie,"Zombie antag.",NOUN,PREFERRED,FULL_FORM,,Zombie,,,,,
"Initial Infected","Patient zero zombie.",NOUN,PREFERRED,FULL_FORM,,"Początkowy zarażony",,,,,
"Paradox Clone","Clone antag.",NOUN,PREFERRED,FULL_FORM,,"Klon z paradoksu",,,,,
"Subverted silicon","Emagged silicon.",NOUN,PREFERRED,FULL_FORM,,"Przejęty robot",,,,,
"Malfunctioning AI","Malf AI.",NOUN,PREFERRED,FULL_FORM,,"Uszkodzona SI",,,,,
"Mothership Core","Xenoborg core.",NOUN,PREFERRED,FULL_FORM,,"Rdzeń statku-matki",,,,,
"Syndicate Recruiter","DV recruiter antag.",NOUN,PREFERRED,FULL_FORM,,"Rekruter Syndykatu",,,,,
"Synthesis Specialist","DV chemist antag.",NOUN,PREFERRED,FULL_FORM,,"Specjalista Syntezy",,,,,
"Solo Antagonist","Generic role type.",NOUN,PREFERRED,FULL_FORM,,"Samotny antagonista",,,,,
"Team Antagonist","Generic role type.",NOUN,PREFERRED,FULL_FORM,,"Antagonista zespołowy",,,,,
"Free Agent","Generic role type.",NOUN,PREFERRED,FULL_FORM,,"Wolny agent",,,,,
"Silicon Antagonist","Generic role type.",NOUN,PREFERRED,FULL_FORM,,"Robot antagonista",,,,,
Entity,,NOUN,PREFERRED,FULL_FORM,,Encja,,NOUN,PREFERRED,FULL_FORM,
cryptobiolin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kryptobiolina,,,,,
dylovene,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,dylowen,,,,,
diphenhydramine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,difenhydramina,,,,,
arithrazine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,arytrazyna,,,,,
bicaridine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,bikarydyna,,,,,
cryoxadone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,krioksadon,,,,,
doxarubixadone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,doksarubiksadon,,,,,
dermaline,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,dermalina,,,,,
dexalin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,deksalina,,,,,
dexalin plus,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,deksalina plus,,,,,
epinephrine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,epinefryna,,,,,
hyronalin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,hyronalina,,,,,
ipecac,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ipekak,,,,,
inaprovaline,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,inaprowalina,,,,,
kelotane,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kelotan,,,,,
leporazine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,leporazyna,,,,,
barozine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,barozyna,,,,,
phalanximine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,falanksymina,,,,,
Polypyrylium Oligomers,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,polipyrylowe oligomery,,,,,
romerodone,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,romerodon,,,,,
ambuzol,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ambuzol,,,,,
ambuzol plus,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,ambuzol plus,,,,,
pulped banana peel,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,rozdrobniona skórka banana,,,,,
siderlac,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,siderlak,,,,,
stellibinin,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,stellibinyna,,,,,
synaptizine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,synaptyzyna,,,,,
tranexamic acid,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,kwas traneksamiczny,,,,,
tricordrazine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,trójkordrazyna,,,,,
lipozine,Chemistry reagent.,NOUN,PREFERRED,FULL_FORM,,lipozyna,,,,,
